Zip,Total_Population,Male_Population,Female_Population
06390,53,37,16
10001,29079,14069,15010
10002,75517,38110,37407
10003,53825,26407,27418
10004,3875,2118,1757
10005,9238,4637,4601
10006,4475,1974,2501
10007,7802,3698,4104
10009,58341,29225,29116
10010,31905,14867,17038
10011,49344,24816,24528
10012,21846,10437,11409
10013,28215,13379,14836
10014,29772,14615,15157
10016,54297,26499,27798
10017,14985,6914,8071
10018,8764,4366,4398
10019,44276,24172,20104
10020,0,0,0
10021,39479,17241,22238
10022,34340,15862,18478
10023,67468,30977,36491
10024,62576,29396,33180
10025,93223,43590,49633
10026,37113,17603,19510
10027,65068,31553,33515
10028,45679,20442,25237
10029,74848,32614,42234
10030,30781,14515,16266
10031,60305,29794,30511
10032,55579,26596,28983
10033,53611,26985,26626
10034,39037,18540,20497
10035,39082,19785,19297
10036,30589,17339,13250
10037,18333,7782,10551
10038,23342,10304,13038
10039,30512,14329,16183
10040,41581,19832,21749
10044,11998,5561,6437
10065,31047,13696,17351
10069,6669,3727,2942
10075,23865,9997,13868
10103,0,0,0
10110,0,0,0
10111,0,0,0
10112,0,0,0
10115,0,0,0
10119,0,0,0
10128,59000,26196,32804
10152,0,0,0
10153,0,0,0
10154,0,0,0
10162,1769,884,885
10165,0,0,0
10167,0,0,0
10168,0,0,0
10169,0,0,0
10170,0,0,0
10171,0,0,0
10172,0,0,0
10173,0,0,0
10174,0,0,0
10177,0,0,0
10199,0,0,0
10271,0,0,0
10278,0,0,0
10279,181,65,116
10280,8668,4186,4482
10282,5960,3257,2703
10301,39799,19331,20468
10302,19693,10444,9249
10303,25993,12137,13856
10304,45843,22019,23824
10305,41714,20586,21128
10306,57249,28292,28957
10307,14821,7770,7051
10308,29996,14354,15642
10309,34918,17200,17718
10310,25824,12438,13386
10311,0,0,0
10312,63345,30956,32389
10314,93539,45695,47844
10451,48975,22034,26941
10452,76745,36593,40152
10453,78270,35367,42903
10454,40368,18645,21723
10455,42940,20148,22792
10456,86958,40179,46779
10457,79375,36705,42670
10458,78741,37447,41294
10459,49753,23625,26128
10460,61101,29444,31657
10461,50900,24129,26771
10462,75452,36926,38526
10463,69373,31426,37947
10464,4273,2083,2190
10465,46457,23200,23257
10466,74061,33480,40581
10467,96304,45818,50486
10468,79825,39027,40798
10469,69855,32529,37326
10470,15558,7499,8059
10471,23400,11056,12344
10472,63820,31689,32131
10473,59778,27527,32251
10474,11188,5582,5606
10475,42771,19601,23170
10501,1426,618,808
10502,5875,2971,2904
10503,127,61,66
10504,7853,4142,3711
10505,1295,609,686
10506,6246,3108,3138
10507,6044,2643,3401
10509,20055,10322,9733
10510,10027,5199,4828
10511,2296,1121,1175
10512,24238,11836,12402
10514,12227,6134,6093
10516,5607,2799,2808
10517,551,228,323
10518,789,401,388
10519,188,128,60
10520,12208,6024,6184
10522,11464,5928,5536
10523,9773,4521,5252
10524,4298,2102,2196
10526,2040,893,1147
10527,587,308,279
10528,13822,6463,7359
10530,13955,6621,7334
10532,5253,2674,2579
10533,7337,3691,3646
10535,323,142,181
10536,11010,5296,5714
10537,2418,1263,1155
10538,17709,8657,9052
10540,114,112,2
10541,26137,13227,12910
10542,0,0,0
10543,21022,10699,10323
10545,182,182,0
10546,1229,490,739
10547,7361,3385,3976
10548,4302,1995,2307
10549,15858,8302,7556
10550,40072,18082,21990
10552,21499,9198,12301
10553,10815,4930,5885
10560,4914,2564,2350
10562,33700,16636,17064
10566,25484,12630,12854
10567,20260,10059,10201
10570,13391,6563,6828
10573,40982,21615,19367
10576,4904,2432,2472
10577,5901,2534,3367
10578,1851,1209,642
10579,8825,4678,4147
10580,18073,9215,8858
10583,40612,20146,20466
10588,3081,1364,1717
10589,7266,3044,4222
10590,7314,3774,3540
10591,23663,11786,11877
10594,5512,2761,2751
10595,7180,3659,3521
10596,657,318,339
10597,652,356,296
10598,28894,14278,14616
10601,10860,4872,5988
10603,19201,9571,9630
10604,12192,5638,6554
10605,19371,9463,9908
10606,17556,8591,8965
10607,6222,2782,3440
10701,70054,34110,35944
10703,22135,9824,12311
10704,31844,14986,16858
10705,40390,20028,20362
10706,9119,4479,4640
10707,9755,4652,5103
10708,21946,10487,11459
10709,10274,5076,5198
10710,25684,12458,13226
10801,41984,20943,21041
10803,13096,6431,6665
10804,15228,7751,7477
10805,21230,10092,11138
10901,26224,11782,14442
10910,0,0,0
10911,18,0,18
10913,5333,2633,2700
10914,691,406,285
10915,0,0,0
10916,4531,2393,2138
10917,1575,970,605
10918,11937,5597,6340
10919,1383,852,531
10920,8493,3948,4545
10921,4358,2276,2082
10922,1072,646,426
10923,9188,4603,4585
10924,13612,6794,6818
10925,4440,2198,2242
10926,3741,1583,2158
10927,12273,6438,5835
10928,5273,2928,2345
10930,10342,5155,5187
10931,1170,522,648
10932,14,7,7
10933,312,93,219
10940,53099,26908,26191
10941,14761,7501,7260
10950,65391,32158,33233
10952,47169,23518,23651
10953,0,0,0
10954,27474,12583,14891
10956,31420,15879,15541
10958,2717,1574,1143
10960,15277,7401,7876
10962,4921,2273,2648
10963,3940,2667,1273
10964,1395,608,787
10965,15526,8158,7368
10968,2406,1319,1087
10969,1333,720,613
10970,11636,5461,6175
10973,2300,1159,1141
10974,3324,1716,1608
10975,254,156,98
10976,2215,922,1293
10977,71465,36931,34534
10979,84,41,43
10980,13793,7112,6681
10983,5489,2648,2841
10984,2760,1456,1304
10985,18,12,6
10986,1402,625,777
10987,4041,2042,1999
10988,684,282,402
10989,8410,4028,4382
10990,20370,9881,10489
10992,10412,5128,5284
10993,4230,2110,2120
10994,5925,2950,2975
10996,6549,3823,2726
10998,3676,1888,1788
11001,25714,12892,12822
11003,44716,22188,22528
11004,14296,6964,7332
11005,2195,802,1393
11010,25618,12564,13054
11020,5986,3033,2953
11021,19474,8826,10648
11023,9824,4975,4849
11024,8821,4618,4203
11030,17703,8752,8951
11040,42344,20758,21586
11042,232,32,200
11050,32657,15989,16668
11096,9897,5224,4673
11101,39007,19876,19131
11102,28349,14117,14232
11103,35357,17647,17710
11104,26825,13050,13775
11105,38507,19223,19284
11106,40657,20053,20604
11109,7388,4020,3368
11201,69251,32265,36986
11203,76853,35157,41696
11204,81368,39681,41687
11205,50205,23282,26923
11206,89231,41993,47238
11207,93445,41735,51710
